feature,mean_a,mean_b,mean_delta,cohens_d,wilcoxon_p,permutation_p,n_iter,n_a,n_b,subsample_a,subsample_b,comparison,label_a,label_b,perm_p_fdr,sig_perm_fdr,wilcox_p_fdr,sig_wilcox_fdr
h1_count,35.455,40.81,-5.355,-0.9552,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0031241739130434786,True,0.0,True
h1_entropy,3.1963,3.3158,-0.1194,-0.7297,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0031241739130434786,True,0.0,True
h1_total_persistence,1.6684,2.1887,-0.5203,-1.4578,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0031241739130434786,True,0.0,True
h1_mean_lifetime,0.0472,0.0538,-0.0066,-0.9632,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0031241739130434786,True,0.0,True
h1_max_lifetime,0.1589,0.1973,-0.0385,-1.2289,0.0,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0031241739130434786,True,0.0,True
max_betti1,12.685,14.4,-1.715,-0.5177,2e-06,0.001996,200,974,364,60,60,ibd_vs_nonibd,IBD (CD+UC),nonIBD,0.0031241739130434786,True,3.272727272727273e-06,True
h1_count,33.605,41.045,-7.44,-1.4149,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0031241739130434786,True,0.0,True
h1_entropy,3.1181,3.3337,-0.2156,-1.383,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0031241739130434786,True,0.0,True
h1_total_persistence,1.6778,2.2513,-0.5736,-1.5511,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0031241739130434786,True,0.0,True
h1_mean_lifetime,0.05,0.0549,-0.0049,-0.6554,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0031241739130434786,True,0.0,True
h1_max_lifetime,0.1803,0.1968,-0.0165,-0.5151,3e-06,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0031241739130434786,True,4.695652173913043e-06,True
max_betti1,11.525,14.795,-3.27,-1.075,0.0,0.001996,200,599,364,60,60,cd_vs_nonibd,Crohn's disease,nonIBD,0.0031241739130434786,True,0.0,True
h1_count,40.05,40.91,-0.86,-0.157,0.083599,0.137725,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.19069615384615385,False,0.11575246153846154,False
h1_entropy,3.3097,3.3193,-0.0096,-0.064,0.567973,0.552894,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.603157090909091,False,0.6013831764705883,False
h1_total_persistence,2.1285,2.2096,-0.081,-0.2098,0.060737,0.027944,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.04023936,True,0.08746128,False
h1_mean_lifetime,0.0533,0.0541,-0.0008,-0.1075,0.35249,0.323353,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.401403724137931,False,0.4375737931034483,False
h1_max_lifetime,0.1863,0.1936,-0.0073,-0.2526,0.026412,0.011976,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.017964,True,0.039618,True
max_betti1,14.905,14.54,0.365,0.1106,0.263179,0.257485,200,375,364,60,60,uc_vs_nonibd,Ulcerative colitis,nonIBD,0.33105214285714285,False,0.338373,False
h1_count,32.0,36.61,-4.61,-1.2406,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0031241739130434786,True,0.0,True
h1_entropy,3.1584,3.2143,-0.0559,-0.5059,2e-06,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0031241739130434786,True,3.272727272727273e-06,True
h1_total_persistence,2.0491,1.7786,0.2704,1.2021,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0031241739130434786,True,0.0,True
h1_mean_lifetime,0.064,0.0488,0.0153,3.2776,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0031241739130434786,True,0.0,True
h1_max_lifetime,0.2116,0.1745,0.037,1.7336,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0031241739130434786,True,0.0,True
max_betti1,14.0,12.755,1.245,0.6437,0.0,0.001996,200,60,189,60,60,high_vs_low_calprotectin,High calprotectin (≥250 μg/g),Low calprotectin (<50 μg/g),0.0031241739130434786,True,0.0,True
h1_count,32.77,32.8,-0.03,-0.0069,0.814976,0.93014,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.93014,False,0.814976,False
h1_entropy,3.0907,3.0968,-0.0061,-0.0405,0.453746,0.716567,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.7370403428571427,False,0.52631775,False
h1_total_persistence,1.6351,1.6195,0.0156,0.0563,0.739054,0.572854,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.606551294117647,False,0.7601698285714286,False
h1_mean_lifetime,0.05,0.0495,0.0005,0.0726,0.53135,0.522954,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.603157090909091,False,0.5796545454545454,False
h1_max_lifetime,0.1733,0.1767,-0.0034,-0.1094,0.25827,0.251497,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.33105214285714285,False,0.338373,False
max_betti1,10.895,11.08,-0.185,-0.0748,0.427778,0.489022,200,93,457,60,60,high_vs_low_hbi,Active CD (HBI≥5),Remission CD (HBI<5),0.5868264,False,0.5133336,False
h1_count,33.19,39.61,-6.42,-1.2907,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0031241739130434786,True,0.0,True
h1_entropy,3.0876,3.3061,-0.2186,-1.407,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0031241739130434786,True,0.0,True
h1_total_persistence,1.7816,2.1135,-0.3319,-1.0239,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0031241739130434786,True,0.0,True
h1_mean_lifetime,0.0539,0.0535,0.0004,0.0542,0.467838,0.550898,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.603157090909091,False,0.52631775,False
h1_max_lifetime,0.212,0.1864,0.0256,0.7064,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0031241739130434786,True,0.0,True
max_betti1,9.56,14.445,-4.885,-1.7844,0.0,0.001996,200,114,240,60,60,high_vs_low_sccai,Active UC (SCCAI≥3),Remission UC (SCCAI<3),0.0031241739130434786,True,0.0,True
